car,year,firm_id,firm_name,division,model,hybrid,segm1,Quantity,Price,wheel_base,length,width,weight,disp,hp,mpg_city,mpg_highway
0,2005,3,HONDA,Acura,MDX,0,39,57948,36970,106.3,188.7,77,4451,3.5,265,17,23
0,2005,8,BMW,BMW,X3,0,39,30769,30995,110.1,179.7,73,4001,2.5,184,17,24
0,2005,8,BMW,BMW,X5,0,39,37598,42395,111,183.7,73.7,4652,3,225,15,21
0,2005,19,GM,Buick ,Rainier,0,34,15271,35765,113,193.4,75.4,4442,4.2,275,16,21
0,2005,19,GM,Buick ,Rendezvous,0,38,60589,27270,112.2,186.5,73.6,4024,3.4,185,19,26
0,2005,19,GM,Cadillac,Escalade,0,34,29876,53715,116,198.9,78.9,5367,5.3,295,14,18
0,2005,19,GM,Cadillac,Escalade EXT,0,35,21268,53895,130,221,79.5,5886,6,345,13,17
0,2005,19,GM,Cadillac,SRX,0,39,22999,39035,116,195,72.6,4229,3.6,255,16,23
0,2005,19,GM,Chevrolet,Astro,0,21,19215,25040,111.2,189.8,77.5,4321,4.3,190,16,20
0,2005,19,GM,Chevrolet,Avalanche,0,35,63186,34170,130,221.7,79.8,5437,5.3,295,14,18
0,2005,19,GM,Chevrolet,Blazer,0,32,4936,21850,100.5,176.8,67.8,3591,4.3,190,15,21
0,2005,19,GM,Chevrolet,Colorado,0,41,128359,16430,111.3,192.8,67.6,3117,2.8,175,21,27
0,2005,19,GM,Chevrolet,Equinox,0,38,130542,21660,112.5,188.8,71.4,3660,3.4,185,19,25
0,2005,19,GM,Chevrolet,Express/VAN,0,22,127585,23575,135,224.1,79.4,4845,4.3,195,14,18
0,2005,19,GM,Chevrolet,Silverado C/K,0,42,705980,19620,119,203.3,78.5,4142,4.3,195,17,23
0,2005,19,GM,Chevrolet,SSR,0,41,8107,43055,116,191.4,78.6,4760,5.3,300,17,23
0,2005,19,GM,Chevrolet,Suburban,0,33,87011,38875,130,219.3,78.9,4947,5.3,285,14,19
0,2005,19,GM,Chevrolet,Tahoe,0,33,152305,36025,116,196.9,78.9,4828,4.8,285,14,18
0,2005,19,GM,Chevrolet,Trailblazer,0,32,244150,28405,113,191.8,74.6,4417,4.2,275,16,21
0,2005,19,GM,Chevrolet,Venture,0,21,7029,24080,211,200.9,72,3838,3.4,185,19,26
0,2005,16,CHRYSLER,Chrysler,Pacifica,0,39,85557,27975,116.3,198.9,79.3,4560,3.5,250,17,22
0,2005,16,CHRYSLER,Chrysler,Town & country,0,21,180759,25640,119.3,200.6,78.6,4239,3.3,180,19,26
0,2005,16,CHRYSLER,Dodge,Caravan,0,21,24944,18995,113.3,189.3,78.6,3817,2.4,150,20,26
0,2005,16,CHRYSLER,Dodge,Dakota,0,41,104051,20019,131,218.8,71.6,4306,3.7,210,16,22
0,2005,16,CHRYSLER,Dodge,Durango,0,32,115439,27380,119.2,200.8,76,4671,3.7,210,16,21
0,2005,16,CHRYSLER,Dodge,Magnum,0,38,52487,22495,120,197.7,74.1,3847,2.7,190,21,28
0,2005,16,CHRYSLER,Dodge,Ram,0,42,400543,25415,140.5,229.7,79.6,5453,5.7,345,12,16
0,2005,18,FORD,Ford,Econoline van/wagon,0,22,179543,23330,138,211.9,79.3,4773,4.6,225,15,19
0,2005,18,FORD,Ford,Escape,0,38,165122,19995,103.1,174.9,70.1,3176,2.3,153,23,27
0,2005,18,FORD,Ford,Excursion,0,33,16283,37810,137.1,226.4,79.9,6680,5.4,255,12,15
0,2005,18,FORD,Ford,Expedition,0,33,114137,33365,119.1,205.8,78.6,5352,5.4,300,13,17
0,2005,18,FORD,Ford,Explorer,0,32,239788,31020,113.7,189.5,72.1,4309,4.6,239,15,20
0,2005,18,FORD,Ford,Freestar,0,21,77585,22295,120.8,201,76.6,4150,3.9,193,18,23
0,2005,18,FORD,Ford,F series,0,42,901463,23365,137,226.6,76.5,5648,5.4,300,14,17
0,2005,18,FORD,Ford,Ranger,0,41,120958,14985,111.5,188.5,66.2,3010,2.3,148,24,29
0,2005,18,FORD,Ford ,Freestyle,0,38,76739,25595,112.9,199.8,73,3959,3,203,20,27
0,2005,19,GM,GMC,Canyon,0,41,34845,16760,111.3,192.4,67.6,3375,2.8,175,21,27
